question,option1,option2,option3,option4,option5,answer
A herbivore has a long small intestine. What advantage does this give?,More enzyme secretion,Complete cellulose digestion,Fast digestion,More than one of the above,None of the above,B
During photosynthesis oxygen is released mainly due to splitting of,CO2,Water,Glucose,More than one of the above,None of the above,B
An increase in blood pressure occurs due to constriction of,Veins,Capillaries,Arterioles,More than one of the above,None of the above,C
A student blocks stomata of leaf and keeps it in sunlight. Which process reduces first?,Respiration,Transpiration,Photosynthesis,More than one of the above,None of the above,C
A nephron selectively reabsorbs glucose because it is,Useful waste,Toxic waste,Essential nutrient,More than one of the above,None of the above,C
Resins and gums in plants represent,Waste storage,Food storage,Water storage,More than one of the above,None of the above,A
Which combination correctly explains why multicellular organisms need transport systems?,Large size,Cells away from environment,High energy demand,More than one of the above,None of the above,D
Statement 1: ATP is formed during respiration. Statement 2: ATP stores energy in phosphate bonds.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements true,More than one of the above,None of the above,C
Which sequence correctly represents aerobic respiration?,Glucose → Pyruvate → CO2 + H2O,Glucose → Ethanol → CO2,Glucose → Lactic acid,None of the above,None of the above,A
Which factors make alveoli efficient for gaseous exchange?,Thin walls,Moist surface,Large surface area,More than one of the above,None of the above,D
Why are valves present in veins?,Prevent backflow,Low blood pressure,Thin walls,More than one of the above,None of the above,D
Which best explains double circulation?,Blood passes heart twice,Separation of oxygenated blood,Efficient oxygen supply,More than one of the above,None of the above,D
Which events occur during photosynthesis?,Light absorption,Water splitting,CO2 reduction,More than one of the above,None of the above,D
Statement 1: Transpiration pull helps upward movement of water. Statement 2: Root pressure alone is sufficient for tall trees.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both true,More than one of the above,None of the above,A
Which correctly describes excretion in plants?,Leaf fall,Storage in vacuoles,Resins and gums,More than one of the above,None of the above,D
Why is haemoglobin essential in humans?,High oxygen affinity,Fast oxygen transport,Efficient respiration,More than one of the above,None of the above,D
