question	option1	option2	option3	option4	option5	answer
Skin epithelium is?	Simple squamous	Stratified squamous	Columnar	Cuboidal	None of the above	B
Ciliated epithelium is found in?	Intestine	Respiratory tract	Stomach	Skin	None of the above	B
Glandular epithelium function is?	Protection	Secretion	Transport	Movement	None of the above	B
Which tissue combination enables quick response?	Bone + muscle	Nerve + muscle	Blood + bone	Cartilage + ligament	None of the above	B
A student observes that cutting the root tip of an onion stops further elongation. Which tissue is responsible for this growth?	Apical meristem	Lateral meristem	Intercalary meristem	Parenchyma	None of the above	A
A plant bends easily without breaking when wind blows. Which tissue provides this flexibility?	Sclerenchyma	Collenchyma	Parenchyma	Xylem	None of the above	B
An aquatic plant floats due to large air cavities in its tissues. This tissue is called?	Chlorenchyma	Aerenchyma	Collenchyma	Sclerenchyma	None of the above	B
A coconut husk is very hard and stiff. Which tissue makes it so?	Parenchyma	Collenchyma	Sclerenchyma	Epidermis	None of the above	C
Water transport from roots to leaves occurs through dead tubular cells. Which tissue is involved?	Phloem	Parenchyma	Xylem	Collenchyma	None of the above	C
Food prepared in leaves is transported to other parts of the plant by?	Xylem	Vessels	Phloem	Cambium	None of the above	C
A leaf surface shows small pores that help in transpiration. These pores are controlled by?	Epidermal cells	Guard cells	Cork cells	Root hairs	None of the above	B
The outer bark of an old tree does not allow water loss. This is due to?	Suberin in cork	Lignin in xylem	Cutin in epidermis	Cellulose in phloem	None of the above	A
A student notices that plant cells divide only at certain regions. Which tissue explains this?	Permanent tissue	Meristematic tissue	Complex tissue	Simple tissue	None of the above	B
Which tissue allows rapid movement of arms and legs under conscious control?	Smooth muscle	Cardiac muscle	Striated muscle	Nervous tissue	None of the above	C
The movement of food in the intestine occurs without conscious control. Which muscle is responsible?	Striated muscle	Smooth muscle	Cardiac muscle	Skeletal muscle	None of the above	B
The heart keeps beating rhythmically throughout life. Which muscle tissue makes this possible?	Striated muscle	Smooth muscle	Cardiac muscle	Voluntary muscle	None of the above	C
A cut in skin heals slowly due to repair by connective tissue found below skin. Identify it.	Adipose tissue	Areolar tissue	Bone	Cartilage	None of the above	B
Which tissue connects muscles to bones and has great strength but little flexibility?	Ligament	Tendon	Cartilage	Areolar	None of the above	B
Which tissue connects bones to bones and is elastic?	Tendon	Ligament	Cartilage	Bone	None of the above	B
Fat stored under the skin helps in insulation and energy storage. Which tissue performs this?	Areolar tissue	Blood	Adipose tissue	Cartilage	None of the above	C
Blood helps transport oxygen and nutrients. It is classified as?	Epithelial tissue	Muscular tissue	Connective tissue	Nervous tissue	None of the above	C
The lining of lungs allows fast diffusion of gases due to thin cells. Which epithelium is present?	Cuboidal	Columnar	Simple squamous	Stratified squamous	None of the above	C
The lining of intestine has tall cells for absorption. Which tissue is present?	Cuboidal epithelium	Columnar epithelium	Ciliated epithelium	Glandular epithelium	None of the above	B
A sudden pin prick is felt immediately due to rapid signal transmission. Which tissue enables this?	Muscular tissue	Connective tissue	Nervous tissue	Epithelial tissue	None of the above	C
