question,option1,option2,option3,option4,option5,answer
An iron nail kept in humid air develops a reddish-brown layer. Which process is responsible?,Oxidation,Rusting,Corrosion,Reduction,All of the above,C
During digestion glucose reacts with oxygen in the body to release energy. This reaction is best classified as?,Endothermic reaction,Exothermic reaction,Neutralisation reaction,Decomposition reaction,All of the above,B
A magnesium ribbon is burned in air and turns into white powder. Which observation confirms a chemical reaction?,Change in colour,Formation of new substance,Release of heat,Loss of magnesium,All of the above,E
A student adds zinc granules to dilute hydrochloric acid and observes bubbles. What gas is released?,Oxygen,Nitrogen,Hydrogen,Carbon dioxide,All of the above,C
"While balancing an equation, a student changes H2O to H2O2 to match oxygen atoms. What mistake is made?",Changing coefficients incorrectly,Changing chemical formula,Ignoring conservation of mass,Incorrect reactants,All of the above,B
A reaction produces only one product from two reactants with heat release. Which type is it?,Combination reaction,Decomposition reaction,Displacement reaction,Double displacement reaction,All of the above,A
Heating calcium carbonate strongly gives calcium oxide and carbon dioxide. This reaction is called?,Combination reaction,Photochemical reaction,Thermal decomposition,Displacement reaction,All of the above,C
Silver chloride turns grey when exposed to sunlight. Which energy causes this change?,Heat energy,Electrical energy,Light energy,Chemical energy,All of the above,C
Electrolysis of water produces twice as much hydrogen as oxygen. What does this indicate?,Molecular ratio of water,Law of conservation of mass,Hydrogen is lighter,Water is acidic,All of the above,A
An iron nail placed in copper sulphate solution turns brown and solution becomes light green. What occurred?,Iron oxidised,Copper displaced,Displacement reaction,Formation of new substances,All of the above,E
Two clear solutions are mixed and a white insoluble solid forms immediately. This reaction is best described as?,Combination reaction,Precipitation reaction,Decomposition reaction,Oxidation reaction,All of the above,B
Copper powder turns black on heating in air. What change has occurred?,Reduction of copper,Oxidation of copper,Evaporation of copper,Neutralisation,All of the above,B
Passing hydrogen gas over heated copper oxide turns it brown. Which statement is correct?,Copper oxide is oxidised,Hydrogen is reduced,Copper oxide is reduced,No redox reaction,All of the above,C
A food packet is flushed with nitrogen gas before sealing. What is the purpose?,Increase taste,Prevent oxidation,Improve colour,Increase moisture,All of the above,B
Oil kept open for long develops bad smell and taste. This is due to?,Reduction,Oxidation,Rusting,Fermentation,All of the above,B
A reaction absorbs energy from surroundings to proceed. It is called?,Exothermic reaction,Endothermic reaction,Neutralisation reaction,Displacement reaction,All of the above,B
Why are physical states sometimes written in chemical equations?,To make equation longer,To show reactant conditions,To increase complexity,Not important,All of the above,B
"In Na2SO4 + BaCl2 → BaSO4 + 2NaCl, which substance is the precipitate?",Sodium chloride,Barium chloride,Sodium sulphate,Barium sulphate,All of the above,D
Which statement correctly describes a balanced chemical equation?,Same number of atoms on both sides,Mass is conserved,Law of conservation followed,Correct stoichiometry,All of the above,E
Which statement best explains why magnesium ribbon is cleaned before burning?,To increase mass,To remove oxide layer,To cool the ribbon,All of the above,None of the above,B
Which statement is correct about a balanced chemical equation?,Atoms are conserved,Mass is conserved,Coefficients are whole numbers,All statements are correct,None of the above,D
Which statement correctly defines a chemical reaction?,Only physical change occurs,New substance is formed,Only heat is produced,All of the above,None of the above,B
Which statement is true for skeletal chemical equations?,They are always balanced,They show physical states,They may not obey conservation of mass,All of the above,None of the above,C
Which statement about combination reactions is correct?,Two products are formed,Energy is always absorbed,Single product is formed,All of the above,None of the above,C
Which statement correctly identifies an exothermic reaction?,Energy is absorbed,Temperature decreases,Heat is released,All of the above,None of the above,C
Which statement is true about decomposition reactions?,One reactant forms many products,Always needs catalyst,Never absorbs energy,All of the above,None of the above,A
Which statement correctly describes thermal decomposition?,Decomposition using light,Decomposition using electricity,Decomposition using heat,All of the above,None of the above,C
Which statement is correct about electrolysis of water?,Equal volumes of gases form,Hydrogen volume is double,Only oxygen forms,All of the above,None of the above,B
Which statement explains why iron displaces copper from CuSO₄ solution?,Copper is more reactive,Iron is less reactive,Iron is more reactive,All of the above,None of the above,C
Which statement is correct for displacement reactions?,Less reactive metal displaces more reactive one,More reactive metal displaces less reactive one,Only acids are involved,All of the above,None of the above,B
Which statement best defines precipitation reaction?,Gas is released,Heat is absorbed,Insoluble solid is formed,All of the above,None of the above,C
Which statement about double displacement reactions is correct?,Only one element is exchanged,Exchange of ions occurs,Only solids react,All of the above,None of the above,B
Which statement correctly defines oxidation?,Loss of oxygen,Gain of hydrogen,Gain of oxygen,All of the above,None of the above,C
Which statement correctly defines reduction?,Gain of oxygen,Loss of hydrogen,Loss of oxygen,All of the above,None of the above,C
Which statement is correct for redox reactions?,Only oxidation occurs,Only reduction occurs,Both occur together,All of the above,None of the above,C
Which statement best explains corrosion?,Metal gains shine,Metal reacts with environment,Metal evaporates,All of the above,None of the above,B
Which statement is true about rusting of iron?,Occurs in dry air only,Occurs without oxygen,Needs air and moisture,All of the above,None of the above,C
Which statement correctly explains rancidity?,Reduction of oils,Oxidation of fats,Fermentation of sugar,All of the above,None of the above,B
Which statement is correct about antioxidants?,Increase oxidation,Prevent oxidation,Speed up reactions,All of the above,None of the above,B
Which statement explains why nitrogen is flushed in food packets?,Increase weight,Prevent oxidation,Improve taste,All of the above,None of the above,B
Which statement is true about physical states in equations?,Always mandatory,Never written,Written when needed,All of the above,None of the above,C
Which statement is correct about coefficients in equations?,Change formula,Change atoms,Balance atoms,All of the above,None of the above,C
Which statement best defines reactants?,Substances formed,Substances consumed,Substances unchanged,All of the above,None of the above,B
Which statement best defines products?,Initial substances,Final substances,Unchanged substances,All of the above,None of the above,B
Which statement explains why Zn + HCl produces H₂ gas?,Zinc oxidised,Hydrogen displaced,Acid neutralised,All of the above,None of the above,B
Which statement is correct about endothermic reactions?,Heat released,Heat absorbed,Always spontaneous,All of the above,None of the above,B
Which statement explains colour change in CuSO₄ solution with iron?,Copper oxidised,Iron reduced,Iron oxidised,Copper reduced,None of the above,D
Which statement is true about balanced equations?,Mass destroyed,Atoms lost,Atoms conserved,All of the above,None of the above,C
Which statement correctly identifies chemical change?,Reversible change,New substance formed,Change in shape only,All of the above,None of the above,B
Statement 1: A chemical reaction involves formation of a new substance. Statement 2: Only physical change occurs in a chemical reaction.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,A
Statement 1: Magnesium ribbon burns with a dazzling white flame. Statement 2: Magnesium oxide is formed during burning.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: A skeletal equation may not obey conservation of mass. Statement 2: A balanced equation obeys conservation of mass.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Coefficients are changed to balance equations. Statement 2: Chemical formulas are changed to balance equations.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,A
Statement 1: Combination reactions form a single product. Statement 2: Decomposition reactions form multiple products.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Exothermic reactions release heat. Statement 2: Endothermic reactions absorb energy.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Respiration is an exothermic reaction. Statement 2: Energy is released during respiration.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Decomposition reactions require energy. Statement 2: Energy can be heat light or electricity.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Silver chloride decomposes in sunlight. Statement 2: This reaction is used in photography.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: In electrolysis of water hydrogen volume is double of oxygen. Statement 2: Water decomposes into hydrogen and oxygen.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Iron displaces copper from copper sulphate solution. Statement 2: Iron is more reactive than copper.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Displacement reactions involve one element replacing another. Statement 2: Less reactive metals displace more reactive metals.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,A
Statement 1: Double displacement reactions involve exchange of ions. Statement 2: Precipitation reactions are a type of double displacement.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Oxidation means gain of oxygen. Statement 2: Reduction means loss of oxygen.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Oxidation and reduction occur together. Statement 2: Redox reactions involve electron transfer.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Copper oxide is reduced by hydrogen. Statement 2: Hydrogen is oxidised in this reaction.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Corrosion is a slow chemical reaction. Statement 2: Rusting of iron is an example of corrosion.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Rusting requires oxygen and moisture. Statement 2: Rusting occurs in dry air.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,A
Statement 1: Rancidity is caused by oxidation of fats. Statement 2: Rancid food smells unpleasant.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Antioxidants prevent oxidation. Statement 2: They increase shelf life of food.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Nitrogen gas is used in food packaging. Statement 2: Nitrogen prevents oxidation of food.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
"Statement 1: Physical states are written as (s), (l), (g), (aq). Statement 2: They make equations more informative.",Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Catalysts change reaction speed. Statement 2: Catalysts remain unchanged after reaction.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: In Zn + HCl reaction hydrogen gas is evolved. Statement 2: Zinc displaces hydrogen from acid.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Precipitate is an insoluble solid. Statement 2: Barium sulphate is a precipitate.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Balanced equations use smallest whole numbers. Statement 2: Fractions are avoided in final equations.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Chemical equations represent reactions symbolically. Statement 2: Word equations are always balanced.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,A
Statement 1: Change in colour indicates a chemical reaction. Statement 2: Change in state always indicates chemical reaction.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,A
Statement 1: Heat is absorbed in endothermic reactions. Statement 2: Temperature of surroundings decreases.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,C
Statement 1: Law of conservation of mass applies to chemical reactions. Statement 2: Mass can be created during reactions.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements are true,More than one of the above,None of the above,A
