question,option1,option2,option3,option4,option5,answer
A metal does not react with dilute hydrochloric acid and no gas is evolved. Which metal is it?,Zinc,Iron,Copper,None of the above,All of the above,C
A student adds zinc to copper sulphate solution and observes a brown deposit. What type of reaction is this?,Combination,Displacement,Decomposition,None of the above,All of the above,B
A black coating forms on copper when heated in air. What is the nature of the oxide formed?,Acidic,Basic,Neutral,None of the above,All of the above,B
Aluminium oxide reacts with both acids and bases. Such oxides are called?,Basic oxides,Acidic oxides,Amphoteric oxides,None of the above,All of the above,C
A metal is found in free state in nature due to very low reactivity. Which metal fits this case?,Iron,Zinc,Gold,None of the above,All of the above,C
A sulphide ore is strongly heated in presence of excess air before extraction. This process is known as?,Calcination,Roasting,Smelting,None of the above,All of the above,B
A carbonate ore is heated in limited supply of air to form oxide. What is this process?,Roasting,Calcination,Refining,None of the above,All of the above,B
Iron oxide reacts with aluminium powder producing molten iron. This reaction is used in welding rails. Name the reaction.,Displacement reaction,Thermit reaction,Combination reaction,None of the above,All of the above,B
A metal cannot be extracted using carbon as reducing agent due to high reactivity. Which method is used?,Roasting,Calcination,Electrolytic reduction,None of the above,All of the above,C
"During electrolytic refining, insoluble impurities settle at the bottom of the anode. These are called?",Slag,Cathode mud,Anode mud,None of the above,All of the above,C
A compound is hard brittle soluble in water and conducts electricity in molten state. Identify the type.,Covalent compound,Ionic compound,Metal alloy,None of the above,All of the above,B
An iron nail rusts only when both air and moisture are present. This shows rusting requires?,Only oxygen,Only water,Air and water,None of the above,All of the above,C
Iron is coated with zinc to prevent rusting. This method is known as?,Anodising,Alloying,Galvanisation,None of the above,All of the above,C
Stainless steel is made by mixing iron with chromium and nickel to improve properties. Such mixtures are called?,Compounds,Ores,Alloys,None of the above,All of the above,C
